time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-04T10:44:10.640Z,0.4538,126.3871,21.12,5.4,mb,,26,1.029,1.21,us,us20006211,2016-06-04T20:34:38.000Z,"114km WSW of Kota Ternate, Indonesia",earthquake,6.7,4.7,0.042,190,reviewed,us,us
2016-06-04T09:54:15.440Z,29.986,57.6163,10,4.3,mb,,141,5.175,0.51,us,us2000620x,2016-06-04T10:46:58.673Z,"61km ESE of Kerman, Iran",earthquake,8.3,1.9,0.114,22,reviewed,us,us
2016-06-04T09:18:40.210Z,-15.5415,-173.1225,32.67,5.4,mb,,43,2.08,0.65,us,us2000620t,2016-06-04T11:23:41.216Z,"81km NE of Hihifo, Tonga",earthquake,9.2,3.7,0.029,408,reviewed,us,us
2016-06-04T06:31:36.810Z,-20.6877,-177.7549,470.7,4.6,mb,,80,4.925,1.16,us,us2000620e,2016-06-04T06:56:20.581Z,"98km E of Ndoi Island, Fiji",earthquake,8.3,7.5,0.075,53,reviewed,us,us
2016-06-04T05:56:27.820Z,31.8414,128.8732,6.14,4.8,mb,,110,1.386,0.75,us,us20006209,2016-06-04T06:14:18.327Z,"93km S of Fukue, Japan",earthquake,7.3,4.9,0.06,87,reviewed,us,us
2016-06-04T05:00:03.880Z,0.6693,-29.1766,10,4.8,mb,,140,9.313,0.77,us,us20006205,2016-06-04T05:21:23.717Z,"Central Mid-Atlantic Ridge",earthquake,12.1,1.9,0.068,68,reviewed,us,us
2016-06-04T04:43:28.100Z,36.5463,-98.8669,5,3,mb_lg,,76,0.102,0.43,us,us20006201,2016-06-04T04:56:25.778Z,"32km ENE of Mooreland, Oklahoma",earthquake,2.5,2,0.056,84,reviewed,us,us
2016-06-04T04:03:16.990Z,12.6535,-89.1935,43.87,4.2,mb,,186,1.027,0.8,us,us200061zz,2016-06-04T04:23:38.097Z,"93km S of La Libertad, El Salvador",earthquake,8.4,19.3,0.105,25,reviewed,us,us
2016-06-04T03:18:43.010Z,-1.658,100.0431,31.99,4.6,mb,,179,2.208,0.91,us,us200061zv,2016-06-04T03:38:31.686Z,"64km SW of Pasarbaru, Indonesia",earthquake,8.7,1.9,0.098,31,reviewed,us,us
2016-06-04T02:22:56.620Z,35.4144,31.5715,10,4.1,mb,,42,1.51,1.02,us,us200061zg,2016-06-04T02:42:37.985Z,"88km WNW of Polis, Cyprus",earthquake,4.4,1.9,0.09,34,reviewed,us,us
